region_origin,period_first_mobility,region_destination,n_outgoing,n_incoming,gain_index_stand
CA,1,Central Asia & Eastern Europe,16,69,0.623529412
CA,2,Central Asia & Eastern Europe,69,233,0.543046358
CA,3,Central Asia & Eastern Europe,149,289,0.319634703
CA,4,Central Asia & Eastern Europe,161,338,0.354709419
CA,5,Central Asia & Eastern Europe,142,475,0.539708266
CA,1,Eastern Asia,84,187,0.380073801
CA,2,Eastern Asia,381,845,0.378466558
CA,3,Eastern Asia,614,1349,0.374426898
CA,4,Eastern Asia,791,1859,0.403018868
CA,5,Eastern Asia,866,1856,0.363703159
CA,1,Latin America & Caribbean,48,69,0.179487179
CA,2,Latin America & Caribbean,144,344,0.409836066
CA,3,Latin America & Caribbean,241,578,0.411477411
CA,4,Latin America & Caribbean,315,988,0.516500384
CA,5,Latin America & Caribbean,359,1608,0.634977123
CA,1,Middle East & North Africa,65,108,0.248554913
CA,2,Middle East & North Africa,398,677,0.259534884
CA,3,Middle East & North Africa,986,1581,0.231788079
CA,4,Middle East & North Africa,1240,2211,0.28136772
CA,5,Middle East & North Africa,1154,3827,0.536639229
CA,1,Oceania,59,65,0.048387097
CA,2,Oceania,247,255,0.015936255
CA,3,Oceania,478,376,-0.119437939
CA,4,Oceania,546,487,-0.057115198
CA,5,Oceania,446,417,-0.033603708
CA,1,South Asia,14,34,0.416666667
CA,2,South Asia,80,273,0.54674221
CA,3,South Asia,192,585,0.505791506
CA,4,South Asia,286,1005,0.55693261
CA,5,South Asia,293,1730,0.710331191
CA,1,South-eastern Asia,10,31,0.512195122
CA,2,South-eastern Asia,84,116,0.16
CA,3,South-eastern Asia,128,171,0.143812709
CA,4,South-eastern Asia,176,252,0.177570093
CA,5,South-eastern Asia,133,341,0.438818565
CA,1,Southern Europe,40,63,0.223300971
CA,2,Southern Europe,142,278,0.323809524
CA,3,Southern Europe,194,450,0.397515528
CA,4,Southern Europe,194,635,0.531966224
CA,5,Southern Europe,236,575,0.418002466
CA,1,Sub-Saharan Africa,8,11,0.157894737
CA,2,Sub-Saharan Africa,39,67,0.264150943
CA,3,Sub-Saharan Africa,98,114,0.075471698
CA,4,Sub-Saharan Africa,153,232,0.205194805
CA,5,Sub-Saharan Africa,158,518,0.532544379
CA,1,US,815,636,-0.123363198
CA,2,US,2986,2474,-0.093772894
CA,3,US,4441,3216,-0.159984328
CA,4,US,5475,3528,-0.216261246
CA,5,US,4926,3548,-0.162615058
CA,1,Western & Northern Europe,309,534,0.266903915
CA,2,Western & Northern Europe,1313,2248,0.262566695
CA,3,Western & Northern Europe,2189,3193,0.186547752
CA,4,Western & Northern Europe,2670,3515,0.136620857
CA,5,Western & Northern Europe,2745,3248,0.083931253
Central Asia & Eastern Europe,1,CA,69,16,-0.623529412
Central Asia & Eastern Europe,2,CA,233,69,-0.543046358
Central Asia & Eastern Europe,3,CA,289,149,-0.319634703
Central Asia & Eastern Europe,4,CA,338,161,-0.354709419
Central Asia & Eastern Europe,5,CA,475,142,-0.539708266
Central Asia & Eastern Europe,1,Central Asia & Eastern Europe,169,169,0
Central Asia & Eastern Europe,2,Central Asia & Eastern Europe,587,587,0
Central Asia & Eastern Europe,3,Central Asia & Eastern Europe,1138,1138,0
Central Asia & Eastern Europe,4,Central Asia & Eastern Europe,2423,2423,0
Central Asia & Eastern Europe,5,Central Asia & Eastern Europe,3691,3691,0
Central Asia & Eastern Europe,1,Eastern Asia,127,83,-0.20952381
Central Asia & Eastern Europe,2,Eastern Asia,309,295,-0.023178808
Central Asia & Eastern Europe,3,Eastern Asia,293,364,0.108066971
Central Asia & Eastern Europe,4,Eastern Asia,543,514,-0.02743614
Central Asia & Eastern Europe,5,Eastern Asia,904,884,-0.011185682
Central Asia & Eastern Europe,1,Latin America & Caribbean,17,14,-0.096774194
Central Asia & Eastern Europe,2,Latin America & Caribbean,50,36,-0.162790698
Central Asia & Eastern Europe,3,Latin America & Caribbean,84,84,0
Central Asia & Eastern Europe,4,Latin America & Caribbean,134,165,0.10367893
Central Asia & Eastern Europe,5,Latin America & Caribbean,180,367,0.341864717
Central Asia & Eastern Europe,1,Middle East & North Africa,31,16,-0.319148936
Central Asia & Eastern Europe,2,Middle East & North Africa,118,77,-0.21025641
Central Asia & Eastern Europe,3,Middle East & North Africa,210,167,-0.114058355
Central Asia & Eastern Europe,4,Middle East & North Africa,543,538,-0.004625347
Central Asia & Eastern Europe,5,Middle East & North Africa,1244,1471,0.083609576
Central Asia & Eastern Europe,1,Oceania,28,13,-0.365853659
Central Asia & Eastern Europe,2,Oceania,106,47,-0.385620915
Central Asia & Eastern Europe,3,Oceania,138,104,-0.140495868
Central Asia & Eastern Europe,4,Oceania,195,117,-0.25
Central Asia & Eastern Europe,5,Oceania,236,124,-0.311111111
Central Asia & Eastern Europe,1,South Asia,5,5,0
Central Asia & Eastern Europe,2,South Asia,41,24,-0.261538462
Central Asia & Eastern Europe,3,South Asia,63,121,0.315217391
Central Asia & Eastern Europe,4,South Asia,110,376,0.547325103
Central Asia & Eastern Europe,5,South Asia,449,1029,0.392422192
Central Asia & Eastern Europe,1,South-eastern Asia,1,1,0
Central Asia & Eastern Europe,2,South-eastern Asia,31,18,-0.265306122
Central Asia & Eastern Europe,3,South-eastern Asia,110,87,-0.116751269
Central Asia & Eastern Europe,4,South-eastern Asia,240,265,0.04950495
Central Asia & Eastern Europe,5,South-eastern Asia,501,594,0.084931507
Central Asia & Eastern Europe,1,Southern Europe,107,68,-0.222857143
Central Asia & Eastern Europe,2,Southern Europe,452,321,-0.169469599
Central Asia & Eastern Europe,3,Southern Europe,634,599,-0.02838605
Central Asia & Eastern Europe,4,Southern Europe,795,972,0.100169779
Central Asia & Eastern Europe,5,Southern Europe,1409,1169,-0.093095423
Central Asia & Eastern Europe,1,Sub-Saharan Africa,7,4,-0.272727273
Central Asia & Eastern Europe,2,Sub-Saharan Africa,28,16,-0.272727273
Central Asia & Eastern Europe,3,Sub-Saharan Africa,82,31,-0.451327434
Central Asia & Eastern Europe,4,Sub-Saharan Africa,248,116,-0.362637363
Central Asia & Eastern Europe,5,Sub-Saharan Africa,637,539,-0.083333333
Central Asia & Eastern Europe,1,US,667,350,-0.311701082
Central Asia & Eastern Europe,2,US,2080,1045,-0.3312
Central Asia & Eastern Europe,3,US,2322,1434,-0.236421725
Central Asia & Eastern Europe,4,US,3067,1643,-0.302335456
Central Asia & Eastern Europe,5,US,3509,1399,-0.42991035
Central Asia & Eastern Europe,1,Western & Northern Europe,858,485,-0.277736411
Central Asia & Eastern Europe,2,Western & Northern Europe,2793,1456,-0.314662273
Central Asia & Eastern Europe,3,Western & Northern Europe,4087,2076,-0.326302126
Central Asia & Eastern Europe,4,Western & Northern Europe,5402,2759,-0.32385737
Central Asia & Eastern Europe,5,Western & Northern Europe,7618,2755,-0.468813265
Eastern Asia,1,CA,187,84,-0.380073801
Eastern Asia,2,CA,845,381,-0.378466558
Eastern Asia,3,CA,1349,614,-0.374426898
Eastern Asia,4,CA,1859,791,-0.403018868
Eastern Asia,5,CA,1856,866,-0.363703159
Eastern Asia,1,Central Asia & Eastern Europe,83,127,0.20952381
Eastern Asia,2,Central Asia & Eastern Europe,295,309,0.023178808
Eastern Asia,3,Central Asia & Eastern Europe,364,293,-0.108066971
Eastern Asia,4,Central Asia & Eastern Europe,514,543,0.02743614
Eastern Asia,5,Central Asia & Eastern Europe,884,904,0.011185682
Eastern Asia,1,Eastern Asia,649,649,0
Eastern Asia,2,Eastern Asia,2751,2751,0
Eastern Asia,3,Eastern Asia,4173,4173,0
Eastern Asia,4,Eastern Asia,5157,5157,0
Eastern Asia,5,Eastern Asia,5818,5818,0
Eastern Asia,1,Latin America & Caribbean,22,21,-0.023255814
Eastern Asia,2,Latin America & Caribbean,84,88,0.023255814
Eastern Asia,3,Latin America & Caribbean,129,150,0.075268817
Eastern Asia,4,Latin America & Caribbean,200,248,0.107142857
Eastern Asia,5,Latin America & Caribbean,190,344,0.288389513
Eastern Asia,1,Middle East & North Africa,37,24,-0.213114754
Eastern Asia,2,Middle East & North Africa,199,137,-0.18452381
Eastern Asia,3,Middle East & North Africa,557,257,-0.368550369
Eastern Asia,4,Middle East & North Africa,936,621,-0.202312139
Eastern Asia,5,Middle East & North Africa,1225,1116,-0.046561299
Eastern Asia,1,Oceania,100,80,-0.111111111
Eastern Asia,2,Oceania,648,310,-0.352818372
Eastern Asia,3,Oceania,1293,594,-0.370429253
