region_destination,period_first_mobility,n_mobile_active_destination_period,region_origin,n_mobile,prop_mobile
CA,1,1807,US,636,0.351964582
CA,1,1807,Western & Northern Europe,534,0.295517432
CA,1,1807,Eastern Asia,187,0.103486442
CA,1,1807,Middle East & North Africa,108,0.059767571
CA,1,1807,Central Asia & Eastern Europe,69,0.038184837
CA,1,1807,Latin America & Caribbean,69,0.038184837
CA,1,1807,Oceania,65,0.035971223
CA,1,1807,Southern Europe,63,0.034864416
CA,1,1807,South Asia,34,0.018815717
CA,1,1807,South-eastern Asia,31,0.017155506
CA,1,1807,Sub-Saharan Africa,11,0.006087438
CA,2,7810,US,2474,0.316773367
CA,2,7810,Western & Northern Europe,2248,0.287836108
CA,2,7810,Eastern Asia,845,0.108194622
CA,2,7810,Middle East & North Africa,677,0.086683739
CA,2,7810,Latin America & Caribbean,344,0.044046095
CA,2,7810,Southern Europe,278,0.035595391
CA,2,7810,South Asia,273,0.034955186
CA,2,7810,Oceania,255,0.032650448
CA,2,7810,Central Asia & Eastern Europe,233,0.029833547
CA,2,7810,South-eastern Asia,116,0.014852753
CA,2,7810,Sub-Saharan Africa,67,0.008578745
CA,3,11902,US,3216,0.270206688
CA,3,11902,Western & Northern Europe,3193,0.26827424
CA,3,11902,Middle East & North Africa,1581,0.132834818
CA,3,11902,Eastern Asia,1349,0.113342295
CA,3,11902,South Asia,585,0.049151403
CA,3,11902,Latin America & Caribbean,578,0.048563267
CA,3,11902,Southern Europe,450,0.037808772
CA,3,11902,Oceania,376,0.031591329
CA,3,11902,Central Asia & Eastern Europe,289,0.024281633
CA,3,11902,South-eastern Asia,171,0.014367333
CA,3,11902,Sub-Saharan Africa,114,0.009578222
CA,4,15050,US,3528,0.234418605
CA,4,15050,Western & Northern Europe,3515,0.233554817
CA,4,15050,Middle East & North Africa,2211,0.146910299
CA,4,15050,Eastern Asia,1859,0.123521595
CA,4,15050,South Asia,1005,0.066777409
CA,4,15050,Latin America & Caribbean,988,0.065647841
CA,4,15050,Southern Europe,635,0.042192691
CA,4,15050,Oceania,487,0.032358804
CA,4,15050,Central Asia & Eastern Europe,338,0.022458472
CA,4,15050,South-eastern Asia,252,0.016744186
CA,4,15050,Sub-Saharan Africa,232,0.015415282
CA,5,18143,Middle East & North Africa,3827,0.210935347
CA,5,18143,US,3548,0.195557515
CA,5,18143,Western & Northern Europe,3248,0.179022212
CA,5,18143,Eastern Asia,1856,0.102298407
CA,5,18143,South Asia,1730,0.09535358
CA,5,18143,Latin America & Caribbean,1608,0.088629223
CA,5,18143,Southern Europe,575,0.031692664
CA,5,18143,Sub-Saharan Africa,518,0.028550956
CA,5,18143,Central Asia & Eastern Europe,475,0.026180896
CA,5,18143,Oceania,417,0.022984071
CA,5,18143,South-eastern Asia,341,0.018795128
Central Asia & Eastern Europe,1,1224,Western & Northern Europe,485,0.39624183
Central Asia & Eastern Europe,1,1224,US,350,0.285947712
Central Asia & Eastern Europe,1,1224,Central Asia & Eastern Europe,169,0.138071895
Central Asia & Eastern Europe,1,1224,Eastern Asia,83,0.067810458
Central Asia & Eastern Europe,1,1224,Southern Europe,68,0.055555556
Central Asia & Eastern Europe,1,1224,CA,16,0.013071895
Central Asia & Eastern Europe,1,1224,Middle East & North Africa,16,0.013071895
Central Asia & Eastern Europe,1,1224,Latin America & Caribbean,14,0.011437908
Central Asia & Eastern Europe,1,1224,Oceania,13,0.010620915
Central Asia & Eastern Europe,1,1224,South Asia,5,0.004084967
Central Asia & Eastern Europe,1,1224,Sub-Saharan Africa,4,0.003267974
Central Asia & Eastern Europe,1,1224,South-eastern Asia,1,0.000816993
Central Asia & Eastern Europe,2,3991,Western & Northern Europe,1456,0.364820847
Central Asia & Eastern Europe,2,3991,US,1045,0.261839138
Central Asia & Eastern Europe,2,3991,Central Asia & Eastern Europe,587,0.147080932
Central Asia & Eastern Europe,2,3991,Southern Europe,321,0.08043097
Central Asia & Eastern Europe,2,3991,Eastern Asia,295,0.073916312
Central Asia & Eastern Europe,2,3991,Middle East & North Africa,77,0.01929341
Central Asia & Eastern Europe,2,3991,CA,69,0.0172889
Central Asia & Eastern Europe,2,3991,Oceania,47,0.011776497
Central Asia & Eastern Europe,2,3991,Latin America & Caribbean,36,0.009020296
Central Asia & Eastern Europe,2,3991,South Asia,24,0.00601353
Central Asia & Eastern Europe,2,3991,South-eastern Asia,18,0.004510148
Central Asia & Eastern Europe,2,3991,Sub-Saharan Africa,16,0.00400902
Central Asia & Eastern Europe,3,6354,Western & Northern Europe,2076,0.326723324
Central Asia & Eastern Europe,3,6354,US,1434,0.225684608
Central Asia & Eastern Europe,3,6354,Central Asia & Eastern Europe,1138,0.17909978
Central Asia & Eastern Europe,3,6354,Southern Europe,599,0.094271325
Central Asia & Eastern Europe,3,6354,Eastern Asia,364,0.057286749
Central Asia & Eastern Europe,3,6354,Middle East & North Africa,167,0.026282657
Central Asia & Eastern Europe,3,6354,CA,149,0.023449795
Central Asia & Eastern Europe,3,6354,South Asia,121,0.019043122
Central Asia & Eastern Europe,3,6354,Oceania,104,0.016367642
Central Asia & Eastern Europe,3,6354,South-eastern Asia,87,0.013692162
Central Asia & Eastern Europe,3,6354,Latin America & Caribbean,84,0.013220019
Central Asia & Eastern Europe,3,6354,Sub-Saharan Africa,31,0.004878816
Central Asia & Eastern Europe,4,10049,Western & Northern Europe,2759,0.274554682
Central Asia & Eastern Europe,4,10049,Central Asia & Eastern Europe,2423,0.241118519
Central Asia & Eastern Europe,4,10049,US,1643,0.163498856
Central Asia & Eastern Europe,4,10049,Southern Europe,972,0.096726042
Central Asia & Eastern Europe,4,10049,Middle East & North Africa,538,0.053537665
Central Asia & Eastern Europe,4,10049,Eastern Asia,514,0.051149368
Central Asia & Eastern Europe,4,10049,South Asia,376,0.037416658
Central Asia & Eastern Europe,4,10049,South-eastern Asia,265,0.026370783
Central Asia & Eastern Europe,4,10049,Latin America & Caribbean,165,0.016419544
Central Asia & Eastern Europe,4,10049,CA,161,0.016021495
Central Asia & Eastern Europe,4,10049,Oceania,117,0.01164295
Central Asia & Eastern Europe,4,10049,Sub-Saharan Africa,116,0.011543437
Central Asia & Eastern Europe,5,14164,Central Asia & Eastern Europe,3691,0.260590229
Central Asia & Eastern Europe,5,14164,Western & Northern Europe,2755,0.194507201
Central Asia & Eastern Europe,5,14164,Middle East & North Africa,1471,0.103854843
Central Asia & Eastern Europe,5,14164,US,1399,0.098771533
Central Asia & Eastern Europe,5,14164,Southern Europe,1169,0.082533183
Central Asia & Eastern Europe,5,14164,South Asia,1029,0.072648969
Central Asia & Eastern Europe,5,14164,Eastern Asia,884,0.062411748
Central Asia & Eastern Europe,5,14164,South-eastern Asia,594,0.041937306
Central Asia & Eastern Europe,5,14164,Sub-Saharan Africa,539,0.038054222
Central Asia & Eastern Europe,5,14164,Latin America & Caribbean,367,0.02591076
Central Asia & Eastern Europe,5,14164,CA,142,0.010025417
Central Asia & Eastern Europe,5,14164,Oceania,124,0.008754589
Eastern Asia,1,2974,US,1247,0.419300605
Eastern Asia,1,2974,Eastern Asia,649,0.218224613
Eastern Asia,1,2974,Western & Northern Europe,435,0.146267653
Eastern Asia,1,2974,South Asia,131,0.04404842
Eastern Asia,1,2974,Central Asia & Eastern Europe,127,0.04270343
Eastern Asia,1,2974,South-eastern Asia,119,0.04001345
Eastern Asia,1,2974,CA,84,0.028244788
Eastern Asia,1,2974,Oceania,80,0.026899798
Eastern Asia,1,2974,Southern Europe,40,0.013449899
Eastern Asia,1,2974,Middle East & North Africa,24,0.008069939
Eastern Asia,1,2974,Latin America & Caribbean,21,0.007061197
Eastern Asia,1,2974,Sub-Saharan Africa,17,0.005716207
Eastern Asia,2,12426,US,4783,0.384918719
Eastern Asia,2,12426,Eastern Asia,2751,0.221390633
Eastern Asia,2,12426,Western & Northern Europe,1884,0.151617576
Eastern Asia,2,12426,South Asia,813,0.06542733
Eastern Asia,2,12426,South-eastern Asia,719,0.057862546
Eastern Asia,2,12426,CA,381,0.030661516
Eastern Asia,2,12426,Oceania,310,0.02494769
Eastern Asia,2,12426,Central Asia & Eastern Europe,309,0.024867214
Eastern Asia,2,12426,Southern Europe,206,0.016578143
Eastern Asia,2,12426,Middle East & North Africa,137,0.01102527
Eastern Asia,2,12426,Latin America & Caribbean,88,0.007081925
Eastern Asia,2,12426,Sub-Saharan Africa,45,0.003621439
Eastern Asia,3,20517,US,7995,0.389676853
Eastern Asia,3,20517,Eastern Asia,4173,0.203392309
Eastern Asia,3,20517,Western & Northern Europe,3068,0.149534532
Eastern Asia,3,20517,South Asia,1634,0.079641273
Eastern Asia,3,20517,South-eastern Asia,1323,0.064483112
Eastern Asia,3,20517,CA,614,0.029926402
Eastern Asia,3,20517,Oceania,594,0.028951601
Eastern Asia,3,20517,Southern Europe,309,0.015060681
Eastern Asia,3,20517,Central Asia & Eastern Europe,293,0.01428084
Eastern Asia,3,20517,Middle East & North Africa,257,0.012526198
Eastern Asia,3,20517,Latin America & Caribbean,150,0.00731101
Eastern Asia,3,20517,Sub-Saharan Africa,107,0.005215187
Eastern Asia,4,29591,US,8814,0.297860836
Eastern Asia,4,29591,Eastern Asia,5157,0.174275962
Eastern Asia,4,29591,Western & Northern Europe,4705,0.159001048
Eastern Asia,4,29591,South Asia,3881,0.131154743
Eastern Asia,4,29591,South-eastern Asia,2827,0.095535805
Eastern Asia,4,29591,Oceania,1068,0.036092055
Eastern Asia,4,29591,CA,791,0.026731101
Eastern Asia,4,29591,Middle East & North Africa,621,0.020986111
Eastern Asia,4,29591,Central Asia & Eastern Europe,543,0.018350174
Eastern Asia,4,29591,Southern Europe,542,0.01831638
Eastern Asia,4,29591,Sub-Saharan Africa,394,0.013314859
Eastern Asia,4,29591,Latin America & Caribbean,248,0.008380927
Eastern Asia,5,35470,US,8355,0.23555117
Eastern Asia,5,35470,Eastern Asia,5818,0.164025937
Eastern Asia,5,35470,Western & Northern Europe,5600,0.157879899
Eastern Asia,5,35470,South Asia,5281,0.148886383
Eastern Asia,5,35470,South-eastern Asia,4315,0.1216521
Eastern Asia,5,35470,Oceania,1508,0.042514801
Eastern Asia,5,35470,Middle East & North Africa,1116,0.031463208
Eastern Asia,5,35470,Central Asia & Eastern Europe,904,0.025486326
Eastern Asia,5,35470,CA,866,0.024414999
Eastern Asia,5,35470,Sub-Saharan Africa,812,0.022892585
Eastern Asia,5,35470,Southern Europe,551,0.015534254
Eastern Asia,5,35470,Latin America & Caribbean,344,0.009698337
Latin America & Caribbean,1,981,US,316,0.322120285
Latin America & Caribbean,1,981,Western & Northern Europe,248,0.252803262
Latin America & Caribbean,1,981,Southern Europe,157,0.160040775
Latin America & Caribbean,1,981,Latin America & Caribbean,144,0.146788991
Latin America & Caribbean,1,981,CA,48,0.048929664
Latin America & Caribbean,1,981,Eastern Asia,22,0.022426096
Latin America & Caribbean,1,981,Central Asia & Eastern Europe,17,0.017329256
Latin America & Caribbean,1,981,Oceania,15,0.01529052
Latin America & Caribbean,1,981,Middle East & North Africa,6,0.006116208
Latin America & Caribbean,1,981,Sub-Saharan Africa,4,0.004077472
Latin America & Caribbean,1,981,South-eastern Asia,2,0.002038736
Latin America & Caribbean,1,981,South Asia,2,0.002038736
Latin America & Caribbean,2,3741,US,1152,0.307939054
Latin America & Caribbean,2,3741,Western & Northern Europe,1007,0.269179364
Latin America & Caribbean,2,3741,Southern Europe,635,0.169740711
Latin America & Caribbean,2,3741,Latin America & Caribbean,542,0.144881048
Latin America & Caribbean,2,3741,CA,144,0.038492382
Latin America & Caribbean,2,3741,Eastern Asia,84,0.022453889
Latin America & Caribbean,2,3741,Central Asia & Eastern Europe,50,0.01336541
Latin America & Caribbean,2,3741,Oceania,45,0.012028869
Latin America & Caribbean,2,3741,South Asia,38,0.010157712
Latin America & Caribbean,2,3741,Sub-Saharan Africa,19,0.005078856
Latin America & Caribbean,2,3741,Middle East & North Africa,15,0.004009623
Latin America & Caribbean,2,3741,South-eastern Asia,10,0.002673082
Latin America & Caribbean,3,6804,US,1873,0.275279248
Latin America & Caribbean,3,6804,Southern Europe,1529,0.224720752
Latin America & Caribbean,3,6804,Western & Northern Europe,1505,0.221193416
Latin America & Caribbean,3,6804,Latin America & Caribbean,1143,0.167989418
Latin America & Caribbean,3,6804,CA,241,0.035420341
Latin America & Caribbean,3,6804,Eastern Asia,129,0.018959436
Latin America & Caribbean,3,6804,South Asia,105,0.015432099
Latin America & Caribbean,3,6804,Oceania,96,0.014109347
Latin America & Caribbean,3,6804,Central Asia & Eastern Europe,84,0.012345679
Latin America & Caribbean,3,6804,Sub-Saharan Africa,40,0.005878895
Latin America & Caribbean,3,6804,Middle East & North Africa,37,0.005437978
Latin America & Caribbean,3,6804,South-eastern Asia,22,0.003233392
Latin America & Caribbean,4,11509,Latin America & Caribbean,2931,0.254670258
Latin America & Caribbean,4,11509,Southern Europe,2829,0.245807629
Latin America & Caribbean,4,11509,US,2304,0.200191155
