region_origin,period_first_mobility,sum_mobile_origin_period,region_destination,n_mobile,prop_mobile
CA,1,1468,US,815,0.555177112
CA,1,1468,Western & Northern Europe,309,0.210490463
CA,1,1468,Eastern Asia,84,0.057220708
CA,1,1468,Middle East & North Africa,65,0.044277929
CA,1,1468,Oceania,59,0.040190736
CA,1,1468,Latin America & Caribbean,48,0.032697548
CA,1,1468,Southern Europe,40,0.027247956
CA,1,1468,Central Asia & Eastern Europe,16,0.010899183
CA,1,1468,South Asia,14,0.009536785
CA,1,1468,South-eastern Asia,10,0.006811989
CA,1,1468,Sub-Saharan Africa,8,0.005449591
CA,2,5883,US,2986,0.507564168
CA,2,5883,Western & Northern Europe,1313,0.22318545
CA,2,5883,Middle East & North Africa,398,0.067652558
CA,2,5883,Eastern Asia,381,0.064762876
CA,2,5883,Oceania,247,0.041985382
CA,2,5883,Latin America & Caribbean,144,0.024477307
CA,2,5883,Southern Europe,142,0.024137345
CA,2,5883,South-eastern Asia,84,0.014278429
CA,2,5883,South Asia,80,0.013598504
CA,2,5883,Central Asia & Eastern Europe,69,0.01172871
CA,2,5883,Sub-Saharan Africa,39,0.006629271
CA,3,9710,US,4441,0.457363543
CA,3,9710,Western & Northern Europe,2189,0.225437693
CA,3,9710,Middle East & North Africa,986,0.101544799
CA,3,9710,Eastern Asia,614,0.06323378
CA,3,9710,Oceania,478,0.0492276
CA,3,9710,Latin America & Caribbean,241,0.024819773
CA,3,9710,Southern Europe,194,0.019979403
CA,3,9710,South Asia,192,0.019773429
CA,3,9710,Central Asia & Eastern Europe,149,0.015345005
CA,3,9710,South-eastern Asia,128,0.013182286
CA,3,9710,Sub-Saharan Africa,98,0.010092688
CA,4,12007,US,5475,0.455984009
CA,4,12007,Western & Northern Europe,2670,0.222370284
CA,4,12007,Middle East & North Africa,1240,0.103273091
CA,4,12007,Eastern Asia,791,0.065878238
CA,4,12007,Oceania,546,0.045473474
CA,4,12007,Latin America & Caribbean,315,0.026234696
CA,4,12007,South Asia,286,0.023819439
CA,4,12007,Southern Europe,194,0.016157242
CA,4,12007,South-eastern Asia,176,0.014658116
CA,4,12007,Central Asia & Eastern Europe,161,0.013408845
CA,4,12007,Sub-Saharan Africa,153,0.012742567
CA,5,11458,US,4926,0.429917961
CA,5,11458,Western & Northern Europe,2745,0.239570606
CA,5,11458,Middle East & North Africa,1154,0.100715657
CA,5,11458,Eastern Asia,866,0.075580381
CA,5,11458,Oceania,446,0.038924769
CA,5,11458,Latin America & Caribbean,359,0.031331821
CA,5,11458,South Asia,293,0.025571653
CA,5,11458,Southern Europe,236,0.020596963
CA,5,11458,Sub-Saharan Africa,158,0.013789492
CA,5,11458,Central Asia & Eastern Europe,142,0.012393088
CA,5,11458,South-eastern Asia,133,0.01160761
Central Asia & Eastern Europe,1,2086,Western & Northern Europe,858,0.411313519
Central Asia & Eastern Europe,1,2086,US,667,0.319750719
Central Asia & Eastern Europe,1,2086,Central Asia & Eastern Europe,169,0.081016299
Central Asia & Eastern Europe,1,2086,Eastern Asia,127,0.060882071
Central Asia & Eastern Europe,1,2086,Southern Europe,107,0.051294343
Central Asia & Eastern Europe,1,2086,CA,69,0.033077661
Central Asia & Eastern Europe,1,2086,Middle East & North Africa,31,0.014860978
Central Asia & Eastern Europe,1,2086,Oceania,28,0.013422819
Central Asia & Eastern Europe,1,2086,Latin America & Caribbean,17,0.008149569
Central Asia & Eastern Europe,1,2086,Sub-Saharan Africa,7,0.003355705
Central Asia & Eastern Europe,1,2086,South Asia,5,0.002396932
Central Asia & Eastern Europe,1,2086,South-eastern Asia,1,0.000479386
Central Asia & Eastern Europe,2,6828,Western & Northern Europe,2793,0.409050967
Central Asia & Eastern Europe,2,6828,US,2080,0.304628002
Central Asia & Eastern Europe,2,6828,Central Asia & Eastern Europe,587,0.085969537
Central Asia & Eastern Europe,2,6828,Southern Europe,452,0.066198008
Central Asia & Eastern Europe,2,6828,Eastern Asia,309,0.045254833
Central Asia & Eastern Europe,2,6828,CA,233,0.034124194
Central Asia & Eastern Europe,2,6828,Middle East & North Africa,118,0.017281781
Central Asia & Eastern Europe,2,6828,Oceania,106,0.015524312
Central Asia & Eastern Europe,2,6828,Latin America & Caribbean,50,0.007322789
Central Asia & Eastern Europe,2,6828,South Asia,41,0.006004687
Central Asia & Eastern Europe,2,6828,South-eastern Asia,31,0.004540129
