first_year,mobility_window,n_researcher,n_mobile,r_n_mobile,prop_research,prop_mobile
2003,3,360019,37860,4593,0.01275766,0.121315372
2002,3,332396,35261,4084,0.01228655,0.115822013
2002,4,332396,35261,4031,0.012127101,0.114318936
2003,4,360019,37860,4314,0.011982701,0.113946117
2004,3,405023,40941,4809,0.0118734,0.117461713
2005,3,435076,43559,5146,0.011827819,0.118138617
2001,4,313686,32808,3688,0.01175698,0.112411607
2005,4,435076,43559,5077,0.011669226,0.116554558
2004,4,405023,40941,4679,0.01155243,0.114286412
2008,3,538841,49784,6217,0.011537726,0.124879479
2006,3,483322,47148,5559,0.011501649,0.117905319
2007,4,504533,47861,5792,0.011479923,0.121017112
2009,4,579483,52476,6627,0.011436056,0.126286302
2009,3,579483,52476,6601,0.011391188,0.125790838
2006,4,483322,47148,5505,0.011389922,0.11675999
2007,3,504533,47861,5741,0.011378839,0.119951526
2001,3,313686,32808,3559,0.011345741,0.108479639
2000,4,296448,31039,3342,0.011273478,0.107670995
2008,4,538841,49784,6059,0.011244504,0.121705769
2004,2,405023,40941,4494,0.011095666,0.109767715
2000,3,296448,31039,3264,0.011010363,0.105158027
2002,5,332396,35261,3632,0.010926726,0.103003318
2010,4,641659,54592,6989,0.010892078,0.128022421
2005,2,435076,43559,4719,0.010846381,0.10833582
2003,5,360019,37860,3890,0.010804985,0.102746962
2010,3,641659,54592,6933,0.010804804,0.12699663
2011,3,706257,57416,7593,0.010751044,0.132245367
2002,2,332396,35261,3569,0.010737193,0.101216642
2011,4,706257,57416,7559,0.010702903,0.131653198
2003,2,360019,37860,3853,0.010702213,0.101769678
2012,4,748658,59044,7961,0.010633694,0.134831651
2007,2,504533,47861,5358,0.010619722,0.111949186
2012,3,748658,59044,7937,0.010601637,0.134425174
2006,2,483322,47148,5123,0.010599559,0.108657843
2013,4,814658,60176,8628,0.010590947,0.14337942
2013,3,814658,60176,8489,0.010420324,0.141069529
2000,2,296448,31039,3078,0.010382934,0.099165566
2004,5,405023,40941,4196,0.010359905,0.102488948
2001,2,313686,32808,3247,0.010351115,0.098969763
2016,4,934912,57589,9663,0.010335732,0.16779246
2001,5,313686,32808,3242,0.010335176,0.098817362
2009,2,579483,52476,5983,0.01032472,0.114014025
2007,5,504533,47861,5204,0.010314489,0.108731535
2006,5,483322,47148,4977,0.010297483,0.105561212
2008,5,538841,49784,5536,0.010273903,0.111200386
2009,5,579483,52476,5932,0.010236711,0.113042153
2008,2,538841,49784,5510,0.010225651,0.11067813
2014,3,868276,60608,8875,0.010221404,0.146432814
2005,5,435076,43559,4445,0.010216606,0.102045502
2000,5,296448,31039,2975,0.010035487,0.09584716
2014,4,868276,60608,8706,0.010026766,0.143644403
2017,3,1017830,54809,10205,0.010026232,0.186192049
2016,3,934912,57589,9241,0.009884353,0.160464672
2011,5,706257,57416,6979,0.009881672,0.121551484
2015,3,893195,58812,8791,0.009842196,0.149476297
2010,5,641659,54592,6299,0.009816741,0.115383206
2015,4,893195,58812,8742,0.009787336,0.148643134
2012,5,748658,59044,7256,0.009692009,0.122891403
2012,2,748658,59044,7250,0.009683995,0.122789784
2001,1,313686,32808,3000,0.009563704,0.091441112
2005,1,435076,43559,4136,0.009506385,0.094951675
2010,2,641659,54592,6095,0.009498815,0.111646395
2003,1,360019,37860,3407,0.009463389,0.089989435
2011,2,706257,57416,6614,0.009364863,0.115194371
2015,5,893195,58812,8336,0.009332788,0.141739781
2017,4,1017830,54809,9499,0.0093326,0.173310953
2006,1,483322,47148,4440,0.009186422,0.094171545
2002,6,332396,35261,3042,0.009151735,0.086270951
2004,1,405023,40941,3701,0.009137753,0.090398378
2018,3,1103964,50854,10041,0.009095405,0.197447595
2006,6,483322,47148,4383,0.009068489,0.092962586
2001,6,313686,32808,2844,0.009066391,0.086686174
2013,2,814658,60176,7385,0.009065154,0.122723345
2005,6,435076,43559,3942,0.009060486,0.090497945
2002,1,332396,35261,3007,0.009046439,0.085278353
2014,5,868276,60608,7836,0.00902478,0.129289863
2008,6,538841,49784,4821,0.008946981,0.096838342
2015,2,893195,58812,7948,0.008898393,0.135142488
2000,6,296448,31039,2636,0.008891947,0.084925416
2000,1,296448,31039,2629,0.008868334,0.084699894
2003,6,360019,37860,3192,0.008866199,0.084310618
2014,2,868276,60608,7682,0.008847417,0.126748944
2013,5,814658,60176,7192,0.008828244,0.119516086
2009,6,579483,52476,5084,0.008773338,0.096882384
2016,5,934912,57589,8183,0.008752695,0.142093108
2007,1,504533,47861,4411,0.008742738,0.092162721
