year,n_researchers,n_pub
2000,922792,1226458
2001,973289,1306753
2002,1040683,1405460
2003,1112003,1509803
2004,1218903,1661304
2005,1332225,1820082
2006,1481587,1999892
2007,1564816,2141390
2008,1669252,2298246
2009,1783689,2473994
2010,1892255,2683498
2011,2054930,2930651
2012,2168906,3144150
2013,2330645,3420013
2014,2457208,3680530
2015,2539819,3889368
2016,2684695,4136964
2017,2873090,4438878
2018,3052809,4742606
2019,3273516,5040545
2020,3691639,5624424
2021,3974116,6107557
2022,4037358,6341774
2023,4064352,6490903
2024,3776727,6170664
