first_year,n_researchers,fold_compared_2000
2000,296448,1.00
2001,313686,1.06
2002,332396,1.12
2003,360019,1.21
2004,405023,1.37
2005,435076,1.47
2006,483322,1.63
2007,504533,1.70
2008,538841,1.82
2009,579483,1.95
2010,641659,2.16
2011,706257,2.38
2012,748658,2.53
2013,814658,2.75
2014,868276,2.93
2015,893195,3.01
2016,934912,3.15
2017,1017830,3.43
2018,1103964,3.72
2019,1215079,4.10
2020,1395557,4.71
2021,1451730,4.90
2022,1476536,4.98
2023,1457214,4.92
2024,1164434,3.93
