region_origin,first_year,n_researchers,n_researchers_2000,fold_compared_2000
CA,2000,9338,9338,1
CA,2001,8772,9338,0.939387449
CA,2002,9605,9338,1.028592846
CA,2003,10936,9338,1.171128721
CA,2004,12302,9338,1.317412722
CA,2005,13449,9338,1.440244164
CA,2006,14248,9338,1.525808524
CA,2007,14505,9338,1.553330478
CA,2008,14981,9338,1.60430499
CA,2009,15572,9338,1.667594774
CA,2010,16652,9338,1.783251232
CA,2011,17664,9338,1.891625616
CA,2012,18358,9338,1.965945599
CA,2013,19142,9338,2.04990362
CA,2014,19984,9338,2.140072821
CA,2015,19975,9338,2.139109017
CA,2016,20468,9338,2.191904048
CA,2017,20989,9338,2.24769758
CA,2018,22354,9338,2.393874491
CA,2019,23314,9338,2.496680231
CA,2020,25580,9338,2.739344613
CA,2021,25725,9338,2.754872564
CA,2022,25102,9338,2.688155922
CA,2023,25947,9338,2.778646391
CA,2024,21311,9338,2.282180338
Central Asia & Eastern Europe,2000,19681,19681,1
Central Asia & Eastern Europe,2001,21148,19681,1.074538895
Central Asia & Eastern Europe,2002,20082,19681,1.020374981
Central Asia & Eastern Europe,2003,21214,19681,1.077892384
Central Asia & Eastern Europe,2004,22696,19681,1.153193435
Central Asia & Eastern Europe,2005,23149,19681,1.176210558
Central Asia & Eastern Europe,2006,26773,19681,1.360347543
Central Asia & Eastern Europe,2007,28880,19681,1.467405112
Central Asia & Eastern Europe,2008,28649,19681,1.455667903
Central Asia & Eastern Europe,2009,29789,19681,1.513591789
Central Asia & Eastern Europe,2010,32371,19681,1.64478431
Central Asia & Eastern Europe,2011,35012,19681,1.778974646
Central Asia & Eastern Europe,2012,41316,19681,2.099283573
Central Asia & Eastern Europe,2013,49702,19681,2.525379808
Central Asia & Eastern Europe,2014,56476,19681,2.869569636
Central Asia & Eastern Europe,2015,63674,19681,3.235303084
Central Asia & Eastern Europe,2016,67616,19681,3.435597785
Central Asia & Eastern Europe,2017,74136,19681,3.766881764
Central Asia & Eastern Europe,2018,90455,19681,4.596057111
Central Asia & Eastern Europe,2019,105929,19681,5.382297647
Central Asia & Eastern Europe,2020,120074,19681,6.101011127
Central Asia & Eastern Europe,2021,126432,19681,6.424063818
Central Asia & Eastern Europe,2022,108307,19681,5.503124841
Central Asia & Eastern Europe,2023,95273,19681,4.840861745
Central Asia & Eastern Europe,2024,69005,19681,3.506173467
Eastern Asia,2000,59120,59120,1
Eastern Asia,2001,67398,59120,1.140020298
Eastern Asia,2002,75013,59120,1.268826116
Eastern Asia,2003,82160,59120,1.389715832
Eastern Asia,2004,95832,59120,1.62097429
Eastern Asia,2005,107434,59120,1.817219215
Eastern Asia,2006,126235,59120,2.135233424
Eastern Asia,2007,135434,59120,2.290832206
Eastern Asia,2008,151972,59120,2.570568336
Eastern Asia,2009,166970,59120,2.824255751
Eastern Asia,2010,185213,59120,3.132831529
Eastern Asia,2011,206856,59120,3.498917456
Eastern Asia,2012,206804,59120,3.498037889
Eastern Asia,2013,233581,59120,3.950964141
Eastern Asia,2014,246763,59120,4.173934371
Eastern Asia,2015,246135,59120,4.163311908
Eastern Asia,2016,255188,59120,4.316441137
Eastern Asia,2017,290526,59120,4.91417456
Eastern Asia,2018,323187,59120,5.466627199
Eastern Asia,2019,362190,59120,6.12635318
Eastern Asia,2020,409647,59120,6.929076455
Eastern Asia,2021,458906,59120,7.762280108
Eastern Asia,2022,526174,59120,8.900101488
Eastern Asia,2023,516928,59120,8.743707713
Eastern Asia,2024,423688,59120,7.166576455
Latin America & Caribbean,2000,13286,13286,1
Latin America & Caribbean,2001,14402,13286,1.083998194
Latin America & Caribbean,2002,16029,13286,1.206457926
Latin America & Caribbean,2003,18081,13286,1.360906217
Latin America & Caribbean,2004,20609,13286,1.551181695
Latin America & Caribbean,2005,23057,13286,1.735435797
